AffiliationId,NormalizedName,DisplayName,Rank
139176818,institut gaspard monge,Institut Gaspard Monge,13281
140743402,the shmoo group,The Shmoo Group,17896
147488377,mandsaur institute of technology,Mandsaur Institute of Technology,15922
147729237,central bank of argentina,Central Bank of Argentina,14688
149137203,guiyang medical university,Guiyang Medical University,12508
149768937,universite de namur,Université de Namur,9909
153330799,smith richardson foundation,Smith Richardson Foundation,16009
154483336,lakeridge health corporation,Lakeridge Health Corporation,14064
160262251,thompson rivers university,Thompson Rivers University,11554
162838928,national chung hsing university,National Chung Hsing University,8657
163698344,entegris,Entegris,12021
165862685,st george s university of london,"St George's, University of London",8406
177933477,second military medical university,Second Military Medical University,8683
179301192,mount saint vincent university,Mount Saint Vincent University,11243
186217134,future university in egypt,Future University in Egypt,12211
205237279,nankai university,Nankai University,7914
311431067,yeni yuzyil university,Yeni Yüzyıl University,13224
315242079,ucl faculty of laws,UCL Faculty of Laws,15917
887998513,bharati vidyapeeth university,Bharati Vidyapeeth University,12108
900356737,fuchs petrolub,Fuchs Petrolub,14658
910881529,intas biopharmaceuticals,Intas Biopharmaceuticals,13838
919734397,ministry of posts and telecommunications,Ministry of Posts and Telecommunications,12207
921685582,naval school,Naval School,15406
1288162130,university of colorado hospital,University of Colorado Hospital,9791
1292697047,sparta inc,"SPARTA, Inc.",12780
1299864998,north tees and hartlepool nhs foundation trust,North Tees and Hartlepool NHS Foundation Trust,13907
1303010205,arizona department of transportation,Arizona Department of Transportation,14966
1307241458,national iranian south oil company,National Iranian South Oil Company,13599
1315147158,chemonics,Chemonics,14822
1335992430,pan american world airways,Pan American World Airways,14642
1339999536,skidmore owings merrill,"Skidmore, Owings & Merrill",14040
1342273802,ubisoft montreal,Ubisoft Montreal,15121
2799368139,richmond hospital,Richmond Hospital,13738
2799405598,coastal states organization,Coastal States Organization,18059
2799414453,higher education authority,Higher Education Authority,16740
2799440789,atlantic cape community college,Atlantic Cape Community College,14656
2799513029,security information service,Security Information Service,16388
2799885155,james cancer hospital,James Cancer Hospital,11861
2799885938,center for advancing innovation,Center for Advancing Innovation,19414
2800003084,west virginia university at parkersburg,West Virginia University at Parkersburg,16903
