JournalId,NormalizedName,Reason,Issn,num_journal_publication,num_journal_author,num_journal_affiliation,journal_year_first_publish,journal_avg_hindex,journal_avg_first_author_hindex,journal_avg_last_author_hindex,journal_avg_middle_author_hindex,total_num_journal_reference,total_num_journal_cited,journal_paper_reference_num,journal_paper_cited_num,journal_journal_reference_num,journal_journal_cited_num,journal_num_author_referenced,journal_num_author_cited,journal_num_affiliation_referenced,journal_num_affiliation_cited,journal_num_journal_self_reference,journal_num_author_self_reference,journal_num_affiliation_self_reference,journal_num_journal_self_cited,journal_num_author_self_cited,journal_num_affiliation_self_cited
44429004,african journal of agricultural research,Suspected editorial misconduct by publisher,1991-637X,6292,19928,19928,2006,4.370411975054339,2.8445255474452553,2.5052447552447554,2.3872268421877565,104140,35723,85648,32200,6018,3583,205518,102848,4863,3962,675,1470,129,661,1185,122
118568332,african journal of biotechnology,Suspected editorial misconduct by publisher,1684-5315,12908,38191,38191,1980,4.438836871002752,2.858269009689604,3.085915711186861,2.3357844434625723,281550,150485,210232,121119,8909,6480,538977,353500,7378,6477,2746,3686,932,2478,3477,937
180126918,african journal of business management,Suspected editorial misconduct by publisher,1993-8233,4010,7961,7961,2006,3.1256796338218344,2.7608576140736667,1.411221945137157,1.4589587301587303,99561,30356,68770,25675,5182,3288,91605,52139,4582,3638,664,522,103,749,573,134
64826861,african journal of pharmacy and pharmacology,Suspected editorial misconduct by publisher,1996-0816,2177,8459,8459,2006,4.591850257893494,3.395961369622476,3.316949931097841,2.311154486349147,49732,13094,43633,11940,5454,2444,153728,44829,4698,2995,385,568,50,382,480,54
2737927128,african review of physics,Journal not adhering to Best practice,2223-6589,502,542,542,2007,5.597510822510822,5.429166666666666,2.9362549800796813,2.343008927448761,1104,520,986,477,164,225,1659,1273,277,331,3,23,4,3,55,6
2764731291,agricultural sciences,Suspected editorial misconduct by publisher, 2156-8553,1534,3429,3429,1989,6.446029934951155,5.28974358974359,4.78748370273794,3.8090837898581245,22291,6141,20321,5964,2888,1421,58969,23792,2936,2219,59,433,167,59,313,105
2738712972,agrovigor,Journal not adhering to Best practice,1979-5777,162,74,74,2008,2.3219298245614035,2.116279069767442,0.8641975308641975,0.6464285714285715,168,58,164,57,68,5,504,174,93,17,0,4,2,0,1,0
2737073747,albanian journal of agricultural sciences,Journal not adhering to Best Practice,2218-2020,133,27,27,2010,4.4259259259259265,3.2758620689655173,1.0676691729323309,1.4238636363636363,240,125,240,124,138,84,862,521,212,107,0,2,0,0,12,1
2764816991,ambient science,Suspected editorial misconduct by publisher,2348-5191,387,175,175,2014,4.032378472222222,3.4183673469387754,1.3617571059431524,1.4378512880562064,363,103,363,99,232,74,1106,431,301,157,0,8,3,0,12,1
2764655704,american journal of analytical chemistry,Suspected editorial misconduct by publisher, 2156-8251,924,2990,2990,2010,7.509145118620925,4.8410351201478745,7.2186147186147185,4.295302776459744,19602,6504,18300,6260,2647,1481,56721,23426,3458,2662,54,386,160,59,278,92
