Journal_Title_Normalized,added,Journal Title,ISSN,Remove_Date,Add_Date,Reason,Data Source,URL,reason_category
american journal of computational mathematics,False,American Journal of Computational Mathematics," 2161-1203, 2161-1211",2015-06-26,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
american journal of economics and business administration,False,American Journal of Economics and Business Administration,1945-5488,2017-03-22,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
american journal of engineering and applied sciences,False,American Journal of Engineering and Applied Sciences,1941-7020,2017-03-22,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
american journal of engineering research,False,American Journal of Engineering Research,2320-0936,2017-02-24,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
american journal of environmental sciences,False,American Journal of Environmental Sciences,1553-345X,2017-03-22,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
american journal of humanities and social sciences,False,American Journal of Humanities and Social Sciences,2329-0781,2017-05-16,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
american journal of immunology,False,American Journal of Immunology,1553-619X,2017-03-22,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
american journal of industrial and business management,False,American Journal of Industrial and Business Management," 2164-5167, 2164-5175",2015-06-26,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
american journal of infectious diseases,False,American Journal of Infectious Diseases,1553-6203,2017-03-22,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
american journal of molecular biology,False,American Journal of Molecular Biology," 2161-6620, 2161-6663",2015-06-26,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
american journal of operations research,False,American Journal of Operations Research," 2160-8830, 2160-8849",2015-06-26,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
american journal of plant sciences,False,American Journal of Plant Sciences," 2158-2742, 2158-2750",2015-06-26,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
american-eurasian journal of sustainable agriculture,False,American-Eurasian Journal of Sustainable Agriculture,1995-0748,2015-08-14,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
"amerika : mémoires, identités, territoires",False,"Amerika : Mémoires, Identités, Territoires",2107-0806,2016-09-30,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
